party_name,q8a_1,q9b,q11,q12,2012,2014,2017,2019,expected,vote_share
1,751,116,242,211,0.8216630196936543,0.1554959785522788,0.2647702407002188,0.23161361141602635,0.566705554212298,56.67055542122979
5,123,449,552,590,0.13457330415754923,0.6018766756032171,0.6039387308533917,0.6476399560922064,0.5847589832454475,58.47589832454475
18,1,4,24,24,0.0010940919037199124,0.005361930294906166,0.0262582056892779,0.026344676180021953,0.024245490149934736,2.4245490149934734
8,0,9,11,0,0.0,0.012064343163538873,0.012035010940919038,0.0,0.012048210441097964,1.2048210441097964
4,38,160,67,82,0.04157549234135667,0.21447721179624665,0.07330415754923414,0.09001097694840834,0.1388717615617844,13.887176156178441
3,1,2,5,2,0.0010940919037199124,0.002680965147453083,0.005470459518599562,0.0021953896816684962,0.0038199099154960876,0.38199099154960875
11,0,1,1,0,0.0,0.0013404825737265416,0.0010940919037199124,0.0,0.001217287238723227,0.1217287238723227
10,0,1,3,0,0.0,0.0013404825737265416,0.0032822757111597373,0.0,0.002796827426801439,0.27968274268014387
2,0,1,3,1,0.0,0.0013404825737265416,0.0032822757111597373,0.0010976948408342481,0.0024570009096080004,0.24570009096080003
7,0,0,1,0,0.0,0.0,0.0010940919037199124,0.0,0.0010940919037199124,0.10940919037199125
6,0,0,3,0,0.0,0.0,0.0032822757111597373,0.0,0.0032822757111597377,0.3282275711159738
9,0,2,2,0,0.0,0.002680965147453083,0.002188183807439825,0.0,0.002434574477446454,0.2434574477446454
12,0,1,0,1,0.0,0.0013404825737265416,0.0,0.0010976948408342481,0.001219088707280395,0.12190887072803949
